Name|Type
Sample Account for Entitlements|None
Pyramid Construction Inc.|Customer - Channel
United Oil & Gas, UK|Customer - Direct
Edge Communications|Customer - Direct
University of Arizona|Customer - Direct
Dickenson plc|Customer - Channel
United Oil & Gas Corp.|Customer - Direct
United Oil & Gas, Singapore|Customer - Direct
Burlington Textiles Corp of America|Customer - Direct
Express Logistics and Transport|Customer - Channel
GenePoint|Customer - Channel
Grand Hotels & Resorts Ltd|Customer - Direct
sForce|None
